	sra_study_acc	Disease
SRX2161785	SRP089788	Healthy
SRX2161786	SRP089788	Healthy
SRX2161788	SRP089788	Healthy
SRX2161789	SRP089788	Healthy
SRX2161790	SRP089788	Healthy
SRX2161787	SRP089788	Healthy
SRX2161795	SRP089788	Myotonic dystrophy
SRX2161791	SRP089788	Healthy
SRX2161797	SRP089788	Myotonic dystrophy
SRX2161799	SRP089788	Myotonic dystrophy
SRX2161794	SRP089788	Myotonic dystrophy
SRX2161792	SRP089788	Myotonic dystrophy
SRX2161793	SRP089788	Myotonic dystrophy
SRX2161800	SRP089788	Myotonic dystrophy
SRX2161796	SRP089788	Myotonic dystrophy
SRX2161798	SRP089788	Myotonic dystrophy
SRX2161801	SRP089788	Myotonic dystrophy
SRX2161802	SRP089788	Myotonic dystrophy
SRX2161804	SRP089788	Myotonic dystrophy
SRX2161807	SRP089788	Myotonic dystrophy
SRX2161803	SRP089788	Myotonic dystrophy
SRX2161808	SRP089788	Myotonic dystrophy
SRX2161809	SRP089788	Myotonic dystrophy
SRX2161805	SRP089788	Myotonic dystrophy
SRX2161806	SRP089788	Myotonic dystrophy
SRX2161810	SRP089788	Myotonic dystrophy
SRX2161812	SRP089788	Myotonic dystrophy
SRX2161813	SRP089788	Myotonic dystrophy
SRX2161811	SRP089788	Myotonic dystrophy
SRX2161815	SRP089788	Myotonic dystrophy
SRX2161817	SRP089788	Myotonic dystrophy
SRX2161818	SRP089788	Myotonic dystrophy
SRX2161820	SRP089788	Myotonic dystrophy
SRX2161814	SRP089788	Myotonic dystrophy
SRX2161819	SRP089788	Myotonic dystrophy
SRX2161816	SRP089788	Myotonic dystrophy
SRX2161822	SRP089788	Myotonic dystrophy
SRX2161821	SRP089788	Myotonic dystrophy
SRX2161825	SRP089788	Myotonic dystrophy
SRX2161824	SRP089788	Myotonic dystrophy
SRX2161823	SRP089788	Myotonic dystrophy
SRX2161827	SRP089788	Myotonic dystrophy
SRX2161826	SRP089788	Myotonic dystrophy
SRX2161828	SRP089788	Myotonic dystrophy
SRX2161829	SRP089788	Myotonic dystrophy
SRX2161832	SRP089788	Myotonic dystrophy
SRX2161831	SRP089788	Myotonic dystrophy
SRX2161830	SRP089788	Myotonic dystrophy
SRX2161833	SRP089788	Myotonic dystrophy
SRX2161835	SRP089788	Myotonic dystrophy
SRX2161834	SRP089788	Myotonic dystrophy
SRX2161837	SRP089788	Myotonic dystrophy
SRX2161836	SRP089788	Myotonic dystrophy
SRX2161839	SRP089788	Healthy
SRX2737405	SRP103934	Myotonic dystrophy
SRX2737407	SRP103934	Myotonic dystrophy
SRX2737425	SRP103934	Myotonic dystrophy
SRX2737426	SRP103934	Myotonic dystrophy
SRX2737424	SRP103934	Myotonic dystrophy
SRX2737406	SRP103934	Myotonic dystrophy
SRX3054304	SRP114567	Healthy
SRX3054303	SRP114567	Healthy
SRX3054305	SRP114567	Healthy
SRX3054306	SRP114567	Healthy
SRX4128266	SRP149027	Healthy
SRX4128265	SRP149027	Healthy
SRX4128268	SRP149027	Healthy
